38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	3	89	636	40	0	768
0	0	0	0	2	87	620	59	0	768
0	0	0	0	1	86	613	68	0	768
0	0	0	0	5	93	632	38	0	768
0	0	0	0	3	89	630	46	0	768
0	0	0	0	2	63	650	53	0	768
0	0	0	0	1	61	661	45	0	768
0	0	0	0	1	60	653	54	0	768
0	0	0	0	1	64	669	34	0	768
0	0	0	0	1	72	663	32	0	768
0	0	0	0	4	82	631	51	0	768
0	0	0	0	0	77	655	36	0	768
0	0	0	0	1	84	645	38	0	768
0	0	0	0	1	87	618	62	0	768
0	0	0	0	2	64	631	71	0	768
0	0	0	0	1	60	660	47	0	768
0	0	0	0	0	67	667	34	0	768
0	0	0	0	1	69	660	38	0	768
0	0	0	0	1	68	668	31	0	768
0	0	0	0	0	74	656	38	0	768
0	0	0	0	0	75	674	19	0	768
0	0	0	0	1	71	660	36	0	768
0	0	0	0	1	80	642	45	0	768
0	0	0	0	0	73	649	46	0	768
0	0	0	0	0	61	653	54	0	768
0	0	0	0	1	60	653	54	0	768
0	0	0	0	1	67	658	42	0	768
0	0	0	0	1	59	676	32	0	768
0	0	0	0	3	74	639	52	0	768
0	0	0	0	0	67	661	40	0	768
0	0	0	0	0	49	679	40	0	768
0	0	0	0	0	45	678	45	0	768
0	0	0	0	0	47	678	43	0	768
0	0	0	0	1	53	677	37	0	768
0	0	0	0	0	57	676	35	0	768
0	0	0	0	1	45	684	38	0	768
0	0	0	0	0	74	642	52	0	768
0	0	0	0	1	53	656	58	0	768
0	0	0	0	2	70	639	57	0	768
0	0	0	0	2	93	632	41	0	768
0	0	0	0	3	107	619	39	0	768
0	0	0	0	1	62	658	47	0	768
0	0	0	0	4	103	638	23	0	768
0	0	0	0	4	87	639	38	0	768
0	0	0	0	3	68	644	53	0	768
0	0	0	0	5	118	622	23	0	768
0	0	0	0	5	89	646	28	0	768
0	0	0	0	0	79	657	32	0	768
0	0	0	0	3	77	667	21	0	768
0	0	0	0	0	70	665	33	0	768
0	0	0	0	1	42	685	40	0	768
0	0	0	0	0	68	656	44	0	768
0	0	0	0	2	108	634	24	0	768
0	0	0	0	3	69	661	35	0	768
0	0	0	0	1	89	655	23	0	768
0	0	0	0	7	151	593	17	0	768
0	0	0	0	10	165	578	15	0	768
0	0	0	0	9	136	607	16	0	768
0	0	0	0	8	145	601	14	0	768
0	0	0	0	11	144	599	14	0	768
0	0	0	0	4	106	637	21	0	768
0	0	0	0	3	94	653	18	0	768
0	0	0	0	5	99	650	14	0	768
0	0	0	0	7	96	645	20	0	768
0	0	0	0	6	99	645	18	0	768
0	0	0	0	6	118	632	12	0	768
0	0	0	0	3	121	630	14	0	768
0	0	0	0	6	113	630	19	0	768
0	0	0	0	6	95	641	26	0	768
0	0	0	0	6	104	639	19	0	768
0	0	0	0	6	114	618	30	0	768
0	0	0	0	7	105	639	17	0	768
0	0	0	0	4	106	623	35	0	768
0	0	0	0	5	114	616	33	0	768
0	0	0	0	8	113	630	17	0	768
