38-39	36-37	34-35	32-33	30-31	28-29	26-27	24-25	Error	Total
0	0	0	0	24	188	526	30	0	768
0	0	0	0	20	166	538	44	0	768
0	0	0	0	11	158	537	62	0	768
0	0	0	0	18	163	553	34	0	768
0	0	0	0	14	169	543	42	0	768
0	0	0	0	12	161	560	35	0	768
0	0	0	0	12	168	553	35	0	768
0	0	0	4	20	190	534	20	0	768
0	0	0	0	13	175	534	46	0	768
0	0	0	1	23	180	527	37	0	768
0	0	0	5	13	156	541	53	0	768
0	0	0	2	22	170	528	46	0	768
0	0	0	1	24	171	541	31	0	768
0	0	0	0	25	162	528	53	0	768
0	0	0	1	28	187	528	24	0	768
0	0	0	7	17	197	534	13	0	768
0	0	0	5	29	177	510	47	0	768
0	0	0	1	25	178	497	67	0	768
0	0	0	3	32	214	492	27	0	768
0	0	0	0	28	129	536	75	0	768
0	0	0	3	32	192	523	18	0	768
0	0	0	5	20	193	537	13	0	768
0	0	0	7	26	213	492	30	0	768
0	0	0	1	18	204	509	36	0	768
0	0	0	2	22	186	536	22	0	768
0	0	0	1	22	194	536	15	0	768
0	0	0	0	19	182	544	23	0	768
0	0	0	0	23	183	542	20	0	768
0	0	0	0	13	185	547	23	0	768
0	0	0	0	30	187	522	29	0	768
0	0	0	0	10	182	522	54	0	768
0	0	0	0	20	175	550	23	0	768
0	0	0	3	30	179	523	33	0	768
0	0	0	9	26	164	525	44	0	768
0	0	0	6	22	170	508	62	0	768
0	0	0	2	21	182	516	47	0	768
0	0	0	2	20	163	547	36	0	768
0	0	0	2	22	172	556	16	0	768
0	0	0	1	23	170	549	25	0	768
0	0	0	0	33	159	555	21	0	768
0	0	0	2	29	162	558	17	0	768
0	0	0	3	20	172	549	24	0	768
0	0	0	2	21	165	555	25	0	768
0	0	0	2	22	177	544	23	0	768
0	0	0	2	22	162	533	49	0	768
0	0	0	2	23	165	515	63	0	768
0	0	0	2	23	168	518	57	0	768
0	0	0	2	22	175	556	13	0	768
0	0	0	1	33	180	533	21	0	768
0	0	0	2	34	187	531	14	0	768
0	0	0	1	28	170	550	19	0	768
0	0	0	0	28	201	521	18	0	768
0	0	0	2	31	188	534	13	0	768
0	0	0	0	36	162	532	38	0	768
0	0	0	1	31	179	548	9	0	768
0	0	0	1	44	177	536	10	0	768
0	0	0	0	40	169	545	14	0	768
0	0	0	1	42	153	555	17	0	768
0	0	0	2	38	186	528	14	0	768
0	0	0	1	43	168	545	11	0	768
0	0	0	1	39	171	546	11	0	768
0	0	0	1	41	183	533	10	0	768
0	0	0	1	37	174	542	14	0	768
0	0	0	1	35	176	533	23	0	768
0	0	0	1	34	175	543	15	0	768
0	0	0	0	25	171	543	29	0	768
0	0	0	1	34	190	539	4	0	768
0	0	0	1	27	185	541	14	0	768
0	0	0	1	31	182	545	9	0	768
0	0	0	0	18	197	542	11	0	768
0	0	0	2	31	192	537	6	0	768
0	0	0	2	32	205	517	12	0	768
0	0	0	1	42	206	513	6	0	768
0	0	0	1	35	206	522	4	0	768
0	0	0	1	34	208	519	6	0	768
0	0	0	1	42	199	516	10	0	768
0	0	0	11	58	215	474	10	0	768
0	0	0	1	27	143	582	15	0	768
0	0	0	4	28	141	555	40	0	768
0	0	0	2	23	130	544	69	0	768
0	0	0	2	26	158	518	64	0	768
0	0	0	1	25	139	573	30	0	768
0	0	0	0	32	161	546	29	0	768
0	0	0	1	21	180	553	13	0	768
0	0	0	0	18	177	537	36	0	768
0	0	0	0	25	174	555	14	0	768
0	0	0	0	17	180	548	23	0	768
0	0	0	0	13	173	566	16	0	768
0	0	0	0	23	181	547	17	0	768
0	0	0	2	9	187	542	28	0	768
0	0	0	0	19	156	568	25	0	768
0	0	0	0	14	175	560	19	0	768
0	0	0	0	16	177	558	17	0	768
0	0	0	0	13	164	568	23	0	768
0	0	0	0	17	144	575	32	0	768
0	0	0	0	14	156	585	13	0	768
0	0	0	1	12	142	585	28	0	768
0	0	0	1	11	141	564	51	0	768
0	0	0	1	15	149	574	29	0	768
0	0	0	0	10	140	556	62	0	768
0	0	0	0	11	157	570	30	0	768
0	0	0	0	12	144	567	45	0	768
0	0	0	0	11	161	565	31	0	768
0	0	0	1	11	177	564	15	0	768
0	0	0	0	15	154	552	47	0	768
0	0	0	1	20	160	577	10	0	768
0	0	0	0	16	148	552	52	0	768
0	0	0	0	17	158	560	33	0	768
0	0	0	0	12	166	530	60	0	768
0	0	0	0	13	178	551	26	0	768
0	0	0	0	6	166	524	72	0	768
0	0	0	0	13	165	570	20	0	768
0	0	0	0	7	134	555	72	0	768
0	0	0	0	6	165	531	66	0	768
0	0	0	0	11	176	560	21	0	768
0	0	0	0	8	177	553	30	0	768
0	0	0	0	7	171	561	29	0	768
0	0	0	0	9	181	555	23	0	768
0	0	0	0	15	170	568	15	0	768
0	0	0	0	13	179	557	19	0	768
0	0	0	0	11	160	574	23	0	768
0	0	0	0	11	175	556	26	0	768
0	0	0	0	11	166	570	21	0	768
0	0	0	0	10	179	567	12	0	768
0	0	0	0	14	162	555	37	0	768
0	0	0	0	15	163	561	29	0	768
0	0	0	0	11	169	567	21	0	768
0	0	0	0	11	165	551	41	0	768
0	0	0	0	12	166	561	29	0	768
0	0	0	0	7	164	556	41	0	768
0	0	0	1	12	163	565	27	0	768
0	0	0	1	10	133	559	65	0	768
0	0	0	0	9	158	555	46	0	768
0	0	0	4	16	179	544	25	0	768
0	0	0	0	13	177	550	28	0	768
0	0	0	2	11	194	547	14	0	768
0	0	0	2	14	174	543	35	0	768
0	0	0	3	14	186	561	4	0	768
0	0	0	0	13	145	573	37	0	768
0	0	0	0	10	144	570	44	0	768
0	0	0	1	8	148	550	61	0	768
0	0	0	1	6	132	557	72	0	768
0	0	0	1	6	152	551	58	0	768
0	0	0	1	5	162	543	57	0	768
0	0	0	0	6	153	556	53	0	768
0	0	0	1	4	141	584	38	0	768
0	0	0	0	5	152	577	34	0	768
0	0	0	0	4	133	555	76	0	768
0	0	0	4	11	149	572	32	0	768
0	0	0	4	7	164	559	34	0	768
0	0	0	0	7	160	539	62	0	768
0	0	0	0	2	160	528	78	0	768
0	0	0	0	7	157	564	40	0	768
0	0	0	1	12	168	557	30	0	768
0	0	0	0	15	161	560	32	0	768
0	0	0	0	9	150	551	58	0	768
0	0	0	0	11	146	548	63	0	768
0	0	0	0	11	141	560	56	0	768
0	0	0	0	14	161	539	54	0	768
0	0	0	0	9	166	524	69	0	768
0	0	0	0	14	165	521	68	0	768
0	0	0	0	10	163	525	70	0	768
0	0	0	0	9	173	534	52	0	768
0	0	0	0	12	177	526	53	0	768
0	0	0	0	10	170	535	53	0	768
0	0	0	1	11	161	552	43	0	768
0	0	0	1	13	186	530	38	0	768
0	0	0	0	10	186	511	61	0	768
0	0	0	0	11	180	527	50	0	768
0	0	0	0	12	175	540	41	0	768
0	0	0	0	15	165	538	50	0	768
0	0	0	0	11	181	528	48	0	768
0	0	0	0	13	145	548	62	0	768
0	0	0	0	10	183	533	42	0	768
0	0	0	0	11	173	537	47	0	768
0	0	0	0	11	160	539	58	0	768
0	0	0	0	10	154	554	50	0	768
0	0	0	0	12	181	559	16	0	768
0	0	0	0	6	169	553	40	0	768
0	0	0	0	1	166	559	42	0	768
0	0	0	0	4	166	559	39	0	768
0	0	0	0	8	174	567	19	0	768
0	0	0	0	9	178	566	15	0	768
0	0	0	0	12	169	569	18	0	768
0	0	0	0	8	172	568	20	0	768
0	0	0	0	18	170	568	12	0	768
0	0	0	0	20	180	556	12	0	768
0	0	0	0	16	171	560	21	0	768
0	0	0	0	19	183	552	14	0	768
0	0	0	0	20	173	548	27	0	768
